company_id,investment_age,funding_round_code,funding_amount_mil,IPO,a,acquired,angel,b,c,d,e,f,merged,neeq,post-IPO,delisted,seed,stg_invse,num_investor
c:9928,172.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9836,33.0,acquired,312.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9836,25.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9836,12.0,a,130.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
c:9836,0.0,angel,19.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
c:9822,12.0,acquired,325.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9754,135.0,acquired,118.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9754,41.0,a,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9744,138.0,acquired,50.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9720,15.0,acquired,512.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9718,48.0,acquired,2.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:9718,35.0,neeq,48.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
c:9718,33.0,d,1000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
c:9718,26.0,c,190.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
c:9718,20.0,b,320.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
c:9718,17.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9698,29.0,acquired,512.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9636,134.0,acquired,235.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:9636,127.0,b,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:9636,90.0,a,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9613,132.0,acquired,210.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9613,109.0,stg_invse,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
c:9613,92.0,a,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9551,160.0,acquired,1768.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:9551,96.0,IPO,1300.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9551,88.0,f,65.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0
c:9551,78.0,e,146.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0
c:9551,60.0,d,162.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0
c:9551,48.0,c,152.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
c:9551,16.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
c:9551,4.0,a,26.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:9503,50.0,merged,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
c:9503,37.0,b,1000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
c:9503,29.0,a,300.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
c:9500,290.0,acquired,512.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9500,243.0,a,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9500,230.0,acquired,3299.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9493,195.0,acquired,2500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9493,171.0,c,132.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
c:9493,169.0,b,200.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
c:9493,155.0,a,200.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
c:9492,112.0,acquired,731.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9492,96.0,acquired,731.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9492,43.0,acquired,731.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9492,27.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
c:9492,13.0,a,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:9490,47.0,acquired,54.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9464,12.0,acquired,312.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9443,117.0,merged,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
c:9443,90.0,a,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9390,118.0,acquired,747.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9390,77.0,angel,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
c:9352,66.0,acquired,945.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9352,27.0,a,80.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
c:9347,24.0,acquired,168.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9323,26.0,acquired,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9322,82.0,acquired,254.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9306,112.0,acquired,97.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9306,11.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9304,105.0,acquired,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9291,91.0,acquired,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9290,40.0,acquired,583.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9290,24.0,angel,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
c:9260,34.0,acquired,3900.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:9260,22.0,acquired,3900.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9250,121.0,acquired,210.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9250,113.0,a,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9244,78.0,stg_invse,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
c:9244,65.0,acquired,2500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:9244,51.0,d,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
c:9244,32.0,c,69.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
c:9244,19.0,b,78.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
c:9244,12.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9244,3.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:9244,1.0,a,9.555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9244,0.0,angel,54.925,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
c:9241,150.0,acquired,512.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9177,34.0,acquired,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9172,60.0,acquired,911.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9172,51.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9171,72.0,acquired,720.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:9171,28.0,acquired,285.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9107,89.0,acquired,660.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9107,44.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:9107,6.0,a,19.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9106,138.0,acquired,295.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9083,181.0,acquired,210.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
c:9083,179.0,delisted,9750.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0
c:9083,122.0,IPO,1300.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9083,121.0,f,260.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
c:9083,110.0,d,650.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
c:9083,46.0,c,130.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
c:9083,23.0,b,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:9083,11.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9070,214.0,acquired,3000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9070,200.0,acquired,2700.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9070,196.0,c,238.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
c:9070,181.0,b,225.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
c:9070,178.0,a,137.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
c:9061,31.0,acquired,224.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:9061,18.0,b,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
c:9061,4.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9051,74.0,acquired,2080.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9051,61.0,a,312.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:9022,150.0,acquired,130.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:9022,137.0,IPO,130.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:9022,135.0,f,2015.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0
c:9022,110.0,e,325.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
c:9022,99.0,d,191.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
c:9022,48.0,c,130.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
c:9022,35.0,b,65.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
c:9022,5.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8983,150.0,acquired,990.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8963,20.0,acquired,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
c:8963,12.0,angel,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8957,139.0,acquired,131.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8957,116.0,acquired,131.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8957,74.0,b,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
c:8957,50.0,a,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8947,11.0,acquired,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8910,43.0,acquired,731.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8893,32.0,acquired,312.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8884,65.0,acquired,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8884,43.0,angel,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8876,56.0,acquired,720.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8873,150.0,merged,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
c:8873,144.0,f,5525.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.0
c:8873,130.0,e,1300.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
c:8873,112.0,d,416.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0
c:8873,96.0,c,650.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
c:8873,49.0,b,162.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0
c:8873,33.0,a,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8844,132.0,acquired,720.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8844,105.0,stg_invse,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
c:8844,55.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:8773,67.0,acquired,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8768,72.0,acquired,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8762,55.0,acquired,325.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8760,80.0,acquired,325.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8744,22.0,merged,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
c:8742,54.0,acquired,1300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8742,54.0,stg_invse,416.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
c:8742,30.0,a,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
c:8688,98.0,acquired,1735.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
c:8688,50.0,d,325.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
c:8688,31.0,c,65.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
