company_id,age_at_news,pos_sentiment,neg_sentiment
c:21235,242,0.9777,0.0223
c:34048160,93,0.0317,0.9683
c:8676,191,0.976,0.024
c:4782,116,0.9811,0.0189
c:519,105,0.6715,0.3285
c:33446648,42,0.9620000000000001,0.038
c:1087,170,0.9858,0.0142
c:33090017,195,0.1499,0.8501
c:32855485,28,0.7889,0.2111
c:21877,168,0.8565,0.1435
c:17180,383,0.5968,0.4032
c:4782,116,0.3197,0.6803
c:35479401,19,0.5487,0.4513
c:33395755,65,0.8652,0.1348
c:34527818,12,0.9629,0.0371
c:35287392,252,0.10099999999999999,0.899
c:34490838,287,0.0721,0.9279
c:48643,201,0.1006,0.8994
c:33944798,38,0.3473,0.6527
c:49177,56,0.5957,0.4043
c:3016,86,0.7451,0.2549
c:81,100,0.1169,0.8831
c:28841,124,0.4814,0.5186
c:35479401,19,0.9428,0.0572
c:30658,49,0.8254,0.1746
c:13076,66,0.4676,0.5324
c:49093,68,0.9799,0.0201
c:28279122,229,0.3432,0.6568
c:13755,243,0.2771,0.7229
c:35285631,128,0.8928,0.1072
c:33415435,95,0.1476,0.8524
c:6696134,38,0.8412,0.1588
c:33295682,35,0.9699,0.0301
c:35476916,71,0.3002,0.6998
c:35368732,360,0.0566,0.9434
c:60276,45,0.7667,0.2333
c:35467150,110,0.6538,0.3462
c:57553,62,0.4106,0.5894
c:3507,99,0.1674,0.8326
c:35433497,107,0.10099999999999999,0.899
c:35475979,35,0.6268,0.3732
c:34798642,27,0.6713,0.3287
c:35475822,14,0.9307,0.0693
c:44236,50,0.8578,0.1422
c:35475537,6,0.3718,0.6282
c:27944,55,0.7379,0.2621
c:4782,115,0.0859,0.9141
c:25400,51,0.4379,0.5621
c:33334971,40,0.0685,0.9315
c:15578,82,0.9513,0.0487
c:4782,115,0.6614,0.3386
c:34891,43,0.1869,0.8131
c:35474765,4,0.9295,0.0705
c:32620864,31,0.8723,0.1277
c:2,105,0.5318,0.4682
c:27182,215,0.8889,0.1111
c:24690,252,0.7933,0.2067
c:25588,106,0.7487,0.2513
c:31091,70,0.9846,0.0154
c:33021579,29,0.6794,0.3206
c:33579401,20,0.7114,0.2886
c:5769,100,0.081,0.919
c:8811,73,0.038,0.9620000000000001
c:32418892,96,0.0752,0.9248
c:27944,55,0.5605,0.4395
c:34891,43,0.9571,0.0429
c:34109252,239,0.9714,0.0286
c:1925,226,0.3033,0.6967
c:65059,70,0.9803,0.0197
c:35470560,57,0.5616,0.4384
c:27197,53,0.9615,0.0385
c:81569,32,0.0442,0.9558
c:59080,76,0.935,0.065
c:35433596,204,0.1091,0.8909
c:35470309,33,0.1303,0.8697
c:34607122,184,0.213,0.787
c:32645601,29,0.9909,0.0091
c:33305193,42,0.9083,0.0917
c:34891,43,0.2291,0.7709
c:77363,49,0.5577,0.4423
c:8676,190,0.9517,0.0483
c:24689,238,0.9184,0.0816
c:60860,71,0.1283,0.8717
c:48584,236,0.8365,0.1635
c:35470292,28,0.9704,0.0296
c:34226927,10,0.73,0.27
c:5833,82,0.7519,0.2481
c:16184,61,0.7971,0.2029
c:519,104,0.9282,0.0718
c:35368732,359,0.3929,0.6071
c:27185,175,0.5262,0.4738
c:32755239,24,0.2276,0.7724
c:77597,68,0.7659,0.2341
c:35469977,13,0.8848,0.1152
c:18396,283,0.1717,0.8283
c:18784,58,0.2035,0.7965
c:31091,70,0.7291,0.2709
c:83818,35,0.6299,0.3701
c:70325,206,0.069,0.9309999999999999
c:15578,82,0.99,0.01
c:58166,74,0.9225,0.0775
c:23587235,28,0.6077,0.3923
c:3749,75,0.7767,0.2233
c:30323,50,0.1758,0.8242
c:35469527,10,0.6801,0.3199
c:33275240,279,0.0329,0.9671
c:76338,54,0.9433,0.0567
c:30928,202,0.307,0.693
c:24690,252,0.1509,0.8491
c:30250726,149,0.9489,0.0511
c:5771368,35,0.9195,0.0805
c:5771368,35,0.94,0.06
c:33725129,20,0.3804,0.6196
c:35468743,69,0.8368,0.1632
c:16426,83,0.8713,0.1287
c:35244593,164,0.10099999999999999,0.899
c:14236,61,0.2679,0.7321
c:33149680,48,0.7026,0.2974
c:7435908,42,0.784,0.21600000000000003
c:11157,86,0.9162,0.0838
c:21412,55,0.1201,0.8799
c:30317,95,0.9909,0.0091
c:35395625,10,0.8557,0.1443
c:81,99,0.0475,0.9525
c:1862,97,0.9657,0.0343
c:10292,70,0.0359,0.9641
c:7415,78,0.8972,0.1028
c:35467454,20,0.1881,0.8119
c:42164,54,0.9196,0.0804
c:35467331,24,0.4523,0.5477
c:55832,172,0.4165,0.5835
c:35467289,30,0.9890000000000001,0.011000000000000001
c:35466466,11,0.184,0.816
c:35466370,58,0.0347,0.9653
c:62573,40,0.985,0.015
c:35466308,39,0.5959,0.4041
c:24690,252,0.9789,0.0211
c:35284670,8,0.3653,0.6347
c:32419142,101,0.3688,0.6312
c:26230,123,0.9071,0.0929
c:48836,72,0.6855,0.3145
c:48836,72,0.0213,0.9787
c:2981930,42,0.7249,0.2751
c:33714555,50,0.2167,0.7833
c:77363,49,0.2334,0.7666
c:19459,56,0.0998,0.9002
c:35459870,48,0.0494,0.9506
c:35459740,30,0.1056,0.8944
c:35153890,18,0.095,0.905
c:35459587,10,0.4102,0.5898
c:62690,57,0.3695,0.6305
c:35459025,40,0.2553,0.7447
c:33079656,52,0.708,0.292
c:41812,47,0.5988,0.4012
c:3387,125,0.0998,0.9002
c:35158528,22,0.0783,0.9217
c:55924,71,0.6352,0.3648
c:33139666,26,0.2316,0.7684
c:32437596,28,0.9691,0.0309
c:35303266,161,0.10099999999999999,0.899
c:32251104,310,0.10099999999999999,0.899
c:32830389,49,0.8059,0.1941
c:45320,51,0.6963,0.3037
c:35478534,8,0.0849,0.9151
c:77363,49,0.0153,0.9847
c:11190,72,0.0076,0.9924
c:35457660,10,0.9122,0.0878
c:35328106,14,0.6855,0.3145
c:39920,380,0.7381,0.2619
c:35430383,45,0.1111,0.8889
c:77363,49,0.617,0.38299999999999995
c:19469,89,0.6447,0.3553
c:35453739,87,0.9229999999999999,0.077
c:35453412,58,0.8323,0.1677
c:32430509,115,0.1798,0.8202
c:45257,54,0.2902,0.7098
c:35211406,250,0.10099999999999999,0.899
c:34399157,15,0.6418,0.3582
c:44725,54,0.7108,0.2892
c:32492988,154,0.7955,0.2045
c:80056,178,0.1685,0.8315
c:35448718,101,0.2952,0.7048
c:34604247,22,0.9158,0.0842
c:32867789,357,0.3312,0.6688
c:15252065,235,0.9607,0.0393
c:18266,79,0.9894,0.0106
c:67501,86,0.9381,0.0619
c:35446696,138,0.5923,0.4077
c:35446547,35,0.2978,0.7022
c:35446141,19,0.8846,0.1154
c:32246706,36,0.8348,0.1652
c:34985209,216,0.10099999999999999,0.899
c:32096890,50,0.2925,0.7075
c:31135366,117,0.1022,0.8978
c:33089132,29,0.2255,0.7745
c:35445517,12,0.3632,0.6368
c:1821,153,0.0128,0.9872
c:74036,129,0.1532,0.8468
c:56560,240,0.0354,0.9646
c:80139,154,0.7651,0.2349
c:35443402,4,0.0983,0.9017
c:79217,116,0.7059,0.2941
c:35442282,45,0.4403,0.5597
c:35442093,16,0.1119,0.8881
c:33407260,101,0.4145,0.5855
c:19349,61,0.05,0.95
c:32231177,102,0.895,0.105
c:34504647,205,0.3465,0.6535
c:33202890,33,0.7953,0.2047
c:17796,65,0.6241,0.3759
c:79563,44,0.3646,0.6354
c:6942572,37,0.9551,0.0449
c:82412,261,0.6105,0.3895
c:33544630,16,0.0359,0.9641
c:35436551,10,0.965,0.035
c:32565039,88,0.09699999999999999,0.903
c:35235,50,0.4805,0.5195
c:34149061,50,0.0605,0.9395
c:21663277,24,0.4123,0.5877
c:33613812,25,0.9347,0.0653
c:7994,74,0.7545,0.2455
c:5194377,46,0.4725,0.5275
c:34498125,18,0.0682,0.9318
c:35430060,22,0.6132,0.3868
c:35429889,12,0.1582,0.8418
c:81692,30,0.3041,0.6959
c:9693,247,0.6105,0.3895
c:35429444,4,0.6085,0.3915
c:72291,223,0.113,0.887
c:7014,95,0.10099999999999999,0.899
c:34280082,27,0.5242,0.4758
c:33625218,36,0.977,0.023
c:35428983,10,0.4065,0.5935
c:22568,60,0.2292,0.7708
c:32150321,70,0.3624,0.6376
c:35428847,8,0.9546,0.0454
c:35436290,151,0.1406,0.8594
c:35511593,102,0.9943,0.0057
c:1544,116,0.1041,0.8959
c:34726846,110,0.6898,0.3102
c:4233,101,0.9472,0.0528
c:14886,140,0.8076,0.1924
c:4091,190,0.9432,0.0568
c:35423501,208,0.0494,0.9506
c:34189,54,0.7391,0.2609
c:35423335,32,0.0665,0.9335
c:2031,44,0.1172,0.8828
c:35422569,204,0.4574,0.5426
c:13515034,200,0.10099999999999999,0.899
c:34977877,175,0.10099999999999999,0.899
c:32299150,211,0.10099999999999999,0.899
c:35422170,51,0.9141,0.0859
c:41140,68,0.9523,0.0477
c:32167925,40,0.9334,0.0666
c:35421907,31,0.7988,0.2012
c:79793,47,0.6827,0.3173
c:26467,58,0.3284,0.6716
c:35418682,77,0.6424,0.3576
c:48424,48,0.2993,0.7007
c:19044,119,0.3233,0.6767
c:2983,254,0.8667,0.1333
c:35416581,5,0.9394,0.0606
c:67577,38,0.8092,0.1908
c:35287094,144,0.10099999999999999,0.899
c:35108819,173,0.5601,0.4399
c:35415979,30,0.6072,0.3928
c:63481,48,0.7604,0.2396
c:35414746,22,0.8313,0.1687
c:33183291,77,0.9194,0.0806
c:33623855,26,0.3177,0.6823
c:29781,61,0.2219,0.7781
c:35413598,122,0.0549,0.9451
